Axial Strain (mm/mm),Axial Stress (Mpa)
0,0
0.015929204,0.003518409
0.02920354,0.007954664
0.042477876,0.013270521
0.053982301,0.019504224
0.063716814,0.026273337
0.074336283,0.033654347
0.083185841,0.041150088
0.091150442,0.049295969
0.099115044,0.057365364
0.107079646,0.066123143
0.113274336,0.074842678
0.120353982,0.083715187
0.126548673,0.092778915
0.132743363,0.102378052
0.138053097,0.112130164
0.143362832,0.121308622
0.148672566,0.131596144
0.153982301,0.141577718
0.15840708,0.15144456
0.163716814,0.161693838
0.168141593,0.17198136
0.173451327,0.182268882
